w(12,3,5,65)
w(10,3,5,65)
r(12,3,5,65)
w(10,4,7,67)
r(10,4,7,67)
r(12,3,7,67)
r(12,3,7,67)
r(12,3,7,67)
r(11,2,7,70)
r(13,0,7,70)
r(13,0,7,70)
r(12,3,7,70)
w(11,8,3,73)
w(12,4,3,73)
w(10,5,3,73)
r(11,8,3,73)
w(10,6,3,73)
r(1,6,7,82)
w(13,4,7,82)
w(10,7,7,82)
r(13,4,7,82)
w(1,8,7,82)
w(13,5,7,82)
w(13,6,7,82)
w(14,2,6,85)
r(14,2,6,85)
w(0,4,6,85)
w(14,3,6,85)
r(14,3,6,85)
w(15,2,5,90)
w(15,3,5,90)
r(0,4,5,90)
w(0,5,5,90)
r(14,3,5,90)
r(14,3,5,90)
r(14,3,5,90)
r(15,3,6,92)
r(14,3,6,92)
w(14,7,6,92)
w(14,8,6,92)
r(14,3,4,94)
w(15,4,4,94)
r(15,4,4,94)
r(15,4,4,94)
r(10,7,4,94)
w(17,1,4,94)
r(17,1,4,94)
w(16,1,3,99)
w(17,4,3,99)
r(17,4,3,99)
r(18,0,3,99)
r(15,4,3,99)
w(17,5,3,99)
r(17,5,3,99)
w(16,2,9,103)
w(15,7,9,103)
r(0,5,9,103)
r(18,0,9,103)
r(15,7,9,103)
r(17,5,9,103)
r(20,0,5,107)
r(20,0,5,107)
r(20,0,5,107)
r(20,0,5,107)
r(20,0,1,109)
w(19,2,1,109)
r(20,0,1,109)
w(20,1,1,109)
r(20,1,1,109)
r(19,2,1,109)
w(20,2,4,113)
r(19,2,4,113)
w(19,3,4,113)
r(16,2,4,113)
w(19,4,4,113)
w(20,3,4,113)
r(20,3,4,113)
w(19,6,8,117)
r(20,3,8,117)
r(18,0,8,117)
r(20,3,8,117)
w(20,6,8,117)
r(20,6,3,122)
w(18,5,3,122)
w(20,8,3,122)
r(22,0,3,122)
r(0,5,3,122)
r(22,0,3,122)
r(21,0,3,122)
r(21,0,3,122)
r(22,0,8,123)
w(22,1,8,123)
r(18,0,8,123)
w(0,6,8,123)
r(22,1,8,123)
r(21,0,8,123)
w(22,2,8,123)
r(22,2,9,134)
w(21,2,9,134)
r(22,2,9,134)
w(18,6,9,134)
w(22,5,9,134)
r(21,2,9,134)
w(22,6,9,134)
w(24,3,1,139)
w(16,5,1,139)
r(21,2,1,139)
w(24,4,1,139)
w(0,7,1,139)
w(24,5,1,139)
w(24,6,1,139)
w(24,7,1,139)
w(25,3,2,142)
w(23,2,2,142)
r(25,3,2,142)
r(25,3,2,142)
r(21,2,7,147)
w(0,8,7,147)
r(25,3,7,147)
r(26,0,7,147)
r(23,2,6,149)
w(26,1,6,149)
w(26,2,6,149)
w(26,3,6,149)
r(25,3,6,149)
r(25,3,5,151)
r(0,7,5,151)
w(25,5,5,151)
r(23,2,5,151)
w(25,6,5,151)
r(23,2,7,157)
w(27,4,7,157)
w(26,4,7,157)
w(27,5,7,157)
r(27,5,7,157)
r(26,4,7,157)
w(28,1,4,161)
w(23,5,4,161)
w(28,2,4,161)
r(28,2,4,161)
r(28,2,4,161)
r(26,4,4,161)
w(26,6,4,161)
r(28,2,4,161)
w(28,3,3,164)
r(26,6,3,164)
r(28,3,3,164)
r(26,6,3,164)
w(28,4,3,164)
r(28,4,3,164)
w(28,5,3,164)
w(26,7,6,167)
w(28,6,6,167)
w(28,7,6,167)
r(23,5,6,167)
r(28,7,6,167)
r(28,7,6,167)
r(23,5,9,170)
r(28,7,9,170)
r(28,7,9,170)
w(31,1,9,170)
r(32,0,6,174)
r(32,0,6,174)
w(31,2,6,174)
r(31,2,6,174)
r(30,0,4,179)
w(32,1,4,179)
r(23,5,4,179)
w(32,2,4,179)
w(23,6,4,179)
r(31,1,4,179)
w(29,1,4,179)
w(31,5,9,181)
w(31,6,9,181)
w(32,5,9,181)
r(31,6,9,181)
r(32,5,9,181)
r(31,6,9,181)
r(32,5,9,183)
r(31,6,9,183)
r(32,5,9,183)
w(31,7,9,183)
w(31,8,9,183)
w(29,3,9,183)
r(33,0,4,186)
r(32,5,4,186)
r(33,0,4,186)
r(32,5,4,186)
r(32,5,4,186)
r(29,3,4,186)
w(33,1,0,188)
