r(7,6,8,73)
r(7,6,8,73)
r(7,6,8,77)
r(11,0,8,77)
r(7,6,8,77)
r(11,0,8,77)
r(12,0,8,77)
w(0,5,9,83)
w(11,1,9,83)
w(11,2,9,83)
w(12,1,9,83)
w(12,2,9,83)
r(10,2,9,83)
r(12,2,9,83)
w(11,3,9,83)
r(11,3,5,87)
r(11,3,5,87)
w(0,7,5,87)
w(10,4,5,87)
r(11,3,5,87)
w(12,4,9,90)
r(11,3,9,90)
w(11,7,9,90)
r(11,7,9,90)
w(12,5,9,90)
r(1,4,9,90)
r(11,7,9,90)
w(12,6,9,90)
r(11,7,0,94)
w(12,8,0,94)
r(11,7,0,94)
r(10,4,0,94)
r(11,7,0,94)
r(11,7,0,94)
r(11,7,0,94)
r(10,4,6,96)
r(11,7,6,96)
w(1,6,6,96)
r(11,7,6,96)
w(15,2,6,99)
r(15,2,6,99)
r(14,0,6,99)
r(15,2,6,99)
r(10,4,6,99)
w(15,3,6,99)
w(15,4,6,99)
w(15,5,6,102)
w(10,5,6,102)
w(15,6,6,102)
w(15,7,6,102)
w(15,8,6,102)
r(15,4,4,104)
r(1,6,4,104)
w(1,7,4,104)
r(16,0,4,104)
w(1,8,4,104)
r(13,0,4,104)
r(16,0,2,106)
r(16,0,2,106)
r(16,0,2,106)
w(16,1,2,106)
w(10,6,2,106)
w(16,2,2,106)
r(16,2,2,106)
r(14,0,9,110)
r(13,0,9,110)
w(16,3,9,110)
w(14,1,9,110)
w(14,2,9,110)
r(16,3,9,110)
r(16,3,7,114)
r(16,3,7,114)
w(16,8,7,114)
r(16,8,7,114)
r(1,8,0,117)
r(17,0,0,117)
w(14,4,0,117)
r(1,8,0,117)
w(17,1,6,118)
w(17,2,6,118)
r(17,2,6,118)
r(14,2,6,118)
w(17,3,6,118)
w(17,4,6,118)
w(13,1,6,118)
w(17,8,0,122)
r(17,8,0,122)
r(18,0,0,122)
r(10,6,0,122)
r(10,6,0,122)
r(18,0,1,123)
w(14,5,1,123)
w(14,6,1,123)
r(18,0,1,123)
r(10,6,1,123)
r(10,6,1,123)
r(18,0,1,125)
r(18,0,1,125)
w(14,7,1,125)
w(14,8,1,125)
r(10,6,0,127)
r(18,0,0,127)
r(18,0,0,127)
w(18,1,0,127)
r(18,1,0,127)
r(19,0,0,127)
r(18,1,2,129)
r(21,0,2,129)
r(21,0,2,129)
r(18,1,2,129)
r(18,1,3,134)
r(18,1,3,134)
w(18,2,3,134)
r(13,1,3,134)
w(20,1,3,134)
r(19,0,3,134)
r(18,2,9,137)
r(21,0,9,137)
w(22,1,9,137)
r(22,1,9,137)
w(22,2,4,140)
r(22,2,4,140)
r(22,2,4,140)
w(21,2,4,140)
r(22,2,4,140)
r(19,0,4,140)
r(20,1,4,140)
w(22,3,4,140)
w(19,1,0,144)
w(22,4,0,144)
r(22,4,0,144)
w(20,3,0,144)
r(22,4,0,144)
r(22,4,0,144)
w(22,5,0,144)
r(23,0,6,153)
w(23,8,6,153)
r(21,2,6,153)
r(20,3,6,153)
r(24,0,6,153)
r(21,2,6,153)
r(21,2,8,155)
r(21,2,8,155)
w(24,1,8,155)
r(24,1,8,155)
w(21,8,8,155)
r(13,1,6,158)
w(20,7,6,158)
r(19,1,6,158)
r(24,1,6,158)
w(24,2,6,158)
r(25,0,6,158)
w(25,1,6,158)
w(13,4,6,158)
r(24,2,9,163)
w(25,3,9,163)
w(24,4,9,163)
r(19,1,9,163)
w(24,5,9,163)
r(24,5,8,166)
w(13,5,8,166)
r(13,5,8,166)
w(24,8,8,166)
r(13,5,8,166)
w(26,1,8,166)
w(25,4,8,166)
r(13,5,8,166)
r(26,1,7,170)
w(13,6,7,170)
r(20,7,7,170)
r(26,1,7,170)
r(26,1,7,170)
r(26,1,7,170)
w(19,7,7,170)
w(26,2,7,170)
w(27,1,5,176)
w(26,5,5,176)
r(26,5,5,176)
w(26,6,5,176)
w(26,7,5,176)
w(27,2,5,176)
w(27,3,5,176)
r(19,7,5,176)
r(29,0,8,179)
r(29,0,8,179)
r(28,0,8,179)
w(30,1,8,179)
w(29,4,8,179)
r(27,3,8,179)
w(28,1,4,183)
r(27,3,4,183)
r(27,3,4,183)
w(29,5,4,183)
w(29,6,4,183)
r(29,6,4,183)
r(29,6,4,183)
w(30,2,5,185)
r(13,6,5,185)
w(30,3,5,185)
r(27,3,5,185)
r(29,6,5,185)
r(27,3,5,185)
r(28,1,5,185)
w(31,1,5,185)
r(31,1,6,187)
w(27,8,6,187)
w(28,2,6,187)
r(30,3,6,187)
w(30,4,6,187)
r(31,1,0,189)
w(31,2,0,189)
r(31,2,0,189)
w(28,3,0,189)
r(31,2,0,192)
r(30,4,0,192)
w(31,3,0,192)
r(31,3,0,192)
w(31,4,0,192)
w(32,1,0,192)
w(30,5,0,192)
w(28,4,9,198)
r(28,4,9,198)
w(31,8,9,198)
w(32,3,9,198)
r(28,4,9,198)
r(31,8,9,198)
w(32,8,0,201)
r(33,0,0,201)
w(33,4,0,201)
r(33,4,0,201)
w(33,5,0,201)
w(28,7,9,204)
w(33,6,9,204)
r(33,6,9,204)
w(33,7,9,204)
w(34,1,9,204)
r(34,0,1,205)
r(34,0,1,205)
r(33,5,1,205)
r(34,0,1,205)
r(33,5,1,205)
r(33,5,1,205)
w(13,7,1,205)
r(33,5,1,205)
w(34,2,4,211)
r(33,7,4,211)
w(33,8,4,211)
w(13,8,4,211)
r(33,8,4,211)
r(33,8,4,211)
w(34,3,4,211)
w(35,1,7,212)
r(34,1,7,212)
r(36,0,7,212)
r(34,1,7,212)
w(35,2,0,216)
r(34,3,0,216)
r(13,8,0,216)
w(36,3,0,216)
w(36,7,1,222)
w(30,7,1,222)
w(37,2,1,222)
r(35,2,1,222)
w(36,8,1,222)
r(39,0,0,225)
w(39,3,0,225)
w(39,4,0,225)
r(37,2,0,225)
w(37,4,5,232)
w(39,5,5,232)
r(39,5,5,232)
w(35,4,5,232)
w(37,5,5,232)
w(30,8,5,232)
r(35,4,5,232)
w(40,7,1,238)
w(40,8,1,238)
r(41,0,1,238)
r(41,0,1,238)
r(40,8,1,238)
r(41,0,0,239)
r(40,0,0,239)
r(40,0,0,239)
r(38,0,0,239)
r(41,0,0,239)
r(42,0,0,239)
w(41,2,0,239)
r(41,2,9,241)
w(41,3,9,241)
r(42,0,9,241)
w(43,1,9,241)
r(42,0,6,244)
w(42,1,6,244)
w(42,2,6,244)
w(41,4,6,244)
r(42,2,6,244)
w(38,1,7,249)
w(43,2,7,249)
r(38,1,7,249)
w(42,5,7,249)
r(43,2,7,249)
r(42,5,7,249)
w(43,3,7,249)
r(42,5,1,252)
r(41,4,1,252)
r(42,5,1,252)
r(35,4,1,252)
w(42,7,1,252)
w(42,8,1,252)
r(42,8,1,252)
w(41,6,9,254)
w(44,1,9,254)
w(44,2,9,254)
w(35,7,9,254)
r(41,6,9,254)
r(41,6,9,254)
w(41,7,9,254)
r(44,2,9,254)
r(44,2,4,257)
r(44,2,4,257)
w(44,7,4,257)
w(41,8,4,257)
w(38,2,9,260)
w(45,1,9,260)
w(45,2,9,260)
r(44,7,9,260)
r(46,0,2,265)
r(45,2,2,265)
r(46,0,2,265)
r(46,0,2,265)
w(46,3,2,265)
w(45,4,2,265)
w(45,5,2,265)
r(46,3,2,265)
r(46,3,1,268)
r(46,3,1,268)
w(46,6,1,268)
w(45,7,1,268)
r(45,7,1,268)
w(38,3,1,268)
r(46,6,1,268)
r(35,7,1,268)
w(43,8,9,271)
r(47,0,9,271)
w(47,1,9,271)
r(35,7,9,271)
w(47,2,9,271)
r(47,2,9,271)
r(45,7,7,273)
r(38,3,7,273)
r(45,7,7,273)
r(47,2,7,273)
r(51,0,4,277)
r(48,0,4,277)
r(51,0,4,277)
r(48,0,4,277)
r(45,7,9,279)
r(48,0,9,279)
r(45,7,9,279)
w(48,1,9,279)
w(47,3,9,279)
r(47,3,9,279)
w(47,4,9,279)
w(45,8,9,279)
r(51,0,0,286)
w(50,2,0,286)
r(50,2,0,286)
w(48,2,0,286)
r(51,0,0,286)
r(50,2,0,286)
w(48,3,0,286)
r(51,0,1,289)
w(51,6,1,289)
r(50,2,1,289)
r(51,6,1,289)
r(51,6,1,289)
r(48,3,5,291)
w(51,7,5,291)
w(51,8,5,291)
w(50,5,5,291)
r(50,5,1,293)
r(49,0,1,293)
w(52,1,1,293)
w(52,2,1,293)
w(50,6,1,293)
w(49,1,1,293)
r(50,6,1,293)
r(48,3,3,296)
w(50,7,3,296)
w(52,3,3,296)
r(52,3,3,296)
w(50,8,3,296)
r(52,3,3,296)
w(48,4,3,296)
w(53,1,3,296)
w(53,2,3,306)
r(53,2,3,306)
w(52,5,3,306)
r(38,3,3,306)
w(53,3,3,306)
w(52,6,3,306)
r(52,6,3,306)
w(48,6,2,311)
w(54,2,2,311)
r(54,2,2,311)
w(54,3,2,311)
r(54,3,4,315)
w(54,8,4,315)
r(38,3,4,315)
r(55,0,4,315)
r(56,0,4,315)
w(56,1,8,321)
r(49,1,8,321)
w(53,7,8,321)
w(56,2,8,321)
w(53,8,8,321)
r(49,1,8,321)
w(56,8,7,325)
r(58,0,7,325)
w(58,1,7,325)
r(57,0,7,325)
r(58,1,5,331)
w(58,5,5,331)
w(55,2,5,331)
r(58,5,5,331)
w(57,4,5,331)
w(58,6,5,331)
w(55,3,9,334)
r(55,3,9,334)
r(55,3,9,334)
r(59,0,9,334)
w(55,4,5,335)
r(59,0,5,335)
r(49,1,5,335)
w(59,1,5,335)
w(59,2,5,335)
r(59,2,5,335)
r(38,3,5,335)
r(55,4,9,337)
w(59,3,9,337)
w(59,4,9,337)
r(49,1,9,337)
r(59,4,4,342)
w(57,5,4,342)
r(49,1,4,342)
r(57,5,4,342)
w(59,6,8,346)
r(59,6,8,346)
r(59,6,8,346)
r(59,6,8,346)
w(55,5,8,346)
r(57,5,2,349)
r(59,4,2,349)
w(60,1,2,349)
r(49,1,2,349)
w(60,2,2,349)
w(60,3,2,349)
r(60,0,0,351)
w(49,3,0,351)
r(57,5,0,351)
r(60,0,0,351)
w(55,6,0,351)
r(60,0,0,351)
w(61,1,0,351)
w(55,7,1,355)
r(61,1,1,355)
w(60,6,1,355)
r(60,6,1,355)
r(61,1,1,355)
r(61,1,1,355)
r(55,7,1,355)
r(60,6,9,358)
w(49,5,9,358)
r(55,7,9,358)
w(49,6,9,358)
r(61,1,9,358)
w(61,2,4,361)
w(62,1,4,361)
r(62,1,4,361)
w(62,2,4,361)
w(61,3,4,361)
r(61,3,4,361)
r(61,3,4,361)
w(62,3,7,364)
r(62,3,7,364)
r(62,3,7,364)
w(61,5,7,364)
r(55,7,7,364)
w(61,8,6,367)
r(62,3,6,367)
r(62,3,6,367)
r(62,3,6,367)
r(63,0,6,367)
w(62,4,6,367)
r(63,0,0,375)
r(63,0,0,375)
w(62,6,0,375)
w(63,3,0,375)
w(63,4,0,375)
w(49,7,0,375)
r(62,6,0,375)
r(62,6,0,375)
r(63,0,6,377)
r(63,0,6,377)
w(64,2,6,377)
w(65,4,6,377)
r(64,2,6,377)
w(65,5,6,377)
r(65,5,6,377)
w(64,3,6,377)
r(64,3,1,380)
r(65,5,1,380)
w(65,7,1,380)
r(65,7,1,380)
r(65,7,8,383)
r(64,3,8,383)
r(65,7,8,383)
r(64,3,8,383)
w(66,1,8,383)
w(66,2,8,383)
w(66,4,3,390)
r(66,4,3,390)
r(66,4,3,390)
w(66,5,3,390)
r(64,3,3,390)
r(63,4,9,398)
w(63,7,9,398)
w(69,3,9,398)
r(63,7,9,398)
w(63,8,9,398)
w(69,4,9,398)
w(69,8,1,401)
w(64,7,1,401)
w(71,1,1,401)
r(70,0,1,401)
w(67,1,4,408)
w(71,2,4,408)
w(71,3,4,408)
w(67,2,4,408)
w(71,4,4,408)
w(70,1,4,408)
r(71,4,4,408)
w(64,8,4,408)
w(73,2,8,409)
r(68,0,8,409)
w(72,1,8,409)
r(73,2,8,409)
w(73,6,2,415)
r(73,6,2,415)
r(73,6,2,415)
r(73,6,2,415)
w(73,7,2,415)
r(70,1,2,415)
r(73,7,2,415)
r(74,0,5,417)
r(74,0,5,417)
r(70,1,5,417)
r(74,0,5,417)
r(70,1,5,417)
r(74,0,5,417)
r(74,0,4,420)
w(70,5,4,420)
r(70,5,4,420)
w(67,4,4,420)
r(68,0,4,420)
r(70,1,7,421)
r(74,0,7,421)
w(74,1,7,421)
w(74,2,7,421)
r(72,1,7,421)
w(74,3,7,421)
r(74,3,7,421)
r(74,3,7,421)
w(70,6,3,423)
r(74,3,3,423)
r(74,3,3,423)
r(74,3,3,423)
r(74,3,3,423)
r(74,3,3,423)
w(74,4,0,428)
r(70,6,0,428)
w(74,5,0,428)
r(74,5,0,428)
r(68,0,0,428)
r(74,5,0,428)
r(74,3,8,430)
r(74,3,8,430)
r(72,1,8,430)
r(70,6,8,430)
w(70,7,8,430)
w(68,1,8,430)
w(75,1,2,432)
r(75,1,2,432)
r(72,1,2,432)
r(75,1,2,432)
r(70,6,2,432)
